franchise_root_title,music_score,visual_score,story_score,character_score,site_score,cover_image_url,cover_image_color,anilist_title_match,anilist_page
Chibi Maruko-chan,5.0,4.56,4.11,3.78,7.53,,,,
"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",4.75,3.38,3.38,3.38,6.8,,,,
Chiikawa,5.0,4.2,4.0,2.0,8.44,,,,
Chitose-kun wa Ramune Bin no Naka,4.45,3.91,3.68,2.36,7.2,,,,
Chou Futsuu Toshi Kashiwa Densetsu,5.0,3.67,3.67,3.67,4.71,,,,
Crayon Shin-chan,5.0,4.29,4.12,3.18,7.81,,,,
Debu to Love to Ayamachi to!,5.0,4.25,4.25,3.25,6.24,,,,
Digimon Beatbreak,5.0,4.33,3.67,3.67,7.14,,,,
Doraemon,5.0,4.07,3.43,2.5,7.82,,,,
Egao no Taenai Shokuba desu.,5.0,2.5,2.5,2.5,6.86,,,,
Fumetsu no Anata e,4.9,4.19,3.68,2.93,8.3,,,,
Futari Solo Camp,5.0,4.17,3.92,2.5,6.61,,,,
Gachiakuta,4.82,3.9,3.45,2.63,8.06,,,,
Ganglion,5.0,3.33,3.33,2.0,5.98,,,,
Gnosia,5.0,3.75,3.75,3.38,7.25,,,,
Himitsu no AiPri,5.0,5.0,5.0,5.0,6.36,,,,
Hyakushou Kizoku,5.0,4.25,3.25,2.5,6.77,,,,
Isekai Quartet Relay PVs,4.96,4.11,3.54,2.89,7.38,,,,
Kakuriyo no Yadomeshi,4.7,3.98,3.55,2.98,7.52,,,,
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,4.33,4.0,3.67,2.67,6.74,,,,
Kekkon Yubiwa Monogatari,4.87,3.97,3.35,2.74,6.07,,,,
Kimi to Koete Koi ni Naru,4.67,4.22,3.89,3.11,6.91,,,,
Kingdom,4.91,4.21,3.7,2.72,8.28,,,,
Koupen-chan,5.0,4.5,4.0,2.5,7.45,,,,
Let's Play: Quest-darake no My Life,4.78,4.0,3.56,3.11,6.2,,,,
Meitantei Conan,5.0,4.29,3.91,3.16,8.18,,,,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",4.5,3.25,2.88,2.0,6.28,,,,
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,5.0,4.17,4.17,3.17,6.35,,,,
Nageki no Bourei wa Intai shitai,4.91,4.09,3.38,2.6,7.06,,,,
Ninja to Gokudou,5.0,4.0,2.33,1.67,6.19,,,,
Nintama Rantarou,5.0,4.0,4.0,1.0,7.1,,,,
Nmeneko,5.0,1.0,1.0,1.0,6.16,,,,
Nohara Hiroshi: Hiru Meshi no Ryuugi,5.0,5.0,4.0,1.0,6.2,,,,
One Piece,4.74,3.83,3.46,3.0,8.73,,,,
One Punch Man,4.71,3.99,3.57,2.97,7.79,,,,
Pokemon (2023),4.79,4.57,3.71,2.36,7.42,,,,
"Potion, Wagami wo Tasukeru",5.0,4.5,4.5,2.83,5.33,,,,
Princession Orchestra,5.0,4.33,4.33,4.33,6.68,,,,
Ranma ½ (2024),4.79,4.26,4.15,3.65,8.0,,,,
SI-VIS: The Sound of Heroes,5.0,4.5,4.5,4.5,6.04,,,,
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,5.0,4.67,4.33,3.0,7.61,,,,
Sanda,5.0,4.17,3.5,2.5,7.47,,,,
Sawaranaide Kotesashi-kun,5.0,4.0,4.0,3.0,6.26,,,,
Sazae-san,5.0,4.0,4.0,4.0,6.15,,,,
Shabake,5.0,4.5,4.5,2.5,6.2,,,,
"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",4.28,3.41,2.75,1.84,6.57,,,,
Shuumatsu Touring,5.0,4.0,4.0,4.0,6.81,,,,
Sore Ike! Anpanman,5.0,4.0,4.0,4.0,6.61,,,,
Sozai Saishuka no Isekai Ryokouki,4.88,3.5,3.12,2.62,6.0,,,,
Spy x Family,4.93,4.12,3.65,3.01,8.34,,,,
Taiyou yori mo Mabushii Hoshi,5.0,4.0,4.0,3.33,7.09,,,,
Tensei Akujo no Kuro Rekishi,5.0,3.83,3.0,2.67,6.56,,,,
Tom to Jerry Gokko,5.0,4.5,3.0,3.0,6.63,,,,
Tomodachi no Imouto ga Ore ni dake Uzai,5.0,3.25,3.25,3.0,6.45,,,,
Tondemo Skill de Isekai Hourou Meshi,5.0,4.29,3.73,2.72,7.64,,,,
Tougen Anki,4.66,3.71,3.23,2.34,6.57,,,,
Toujima Tanzaburou wa Kamen Rider ni Naritai,5.0,4.25,3.75,3.0,7.68,,,,
"Towa no Yuugure: Asa wo Kokoro ni, Ichi, Ni to Kazoe yo",4.8,3.7,3.2,2.6,6.91,,,,
Uma Musume: Cinderella Gray,5.0,4.44,4.03,3.15,8.56,,,,
Wandance,5.0,3.57,3.14,2.71,6.29,,,,
Watari-kun no xx ga Houkai Sunzen,4.25,3.08,2.58,2.42,6.15,,,,
"Watashi wo Tabetai, Hitodenashi",5.0,3.0,3.0,3.0,7.25,,,,
Yano-kun no Futsuu no Hibi,5.0,4.56,4.33,3.67,7.19,,,,
Yasei no Last Boss ga Arawareta!,5.0,4.12,3.88,3.38,7.38,,,,
